Attraction Name,Park Name,Timings,Height Restrictions,Location Lat,Location Lng
Bruce's Shark World,EPCOT,09:00:00 to 21:00:00,['any-height'],28.375099,-81.551245451
Awesome Planet,EPCOT,09:00:00 to 21:00:00,['any-height'],28.374301,-81.552138
Sharks and Rays - Disney Animals,EPCOT,,['any-height'],28.375631,-81.550904
Star Tours – The Adventures Continue,Disney's Hollywood Studios,"08:30:00 to 09:00:00, 09:00:00 to 21:30:00",['40-inches-102-cm-or-taller'],28.355695,-81.558891
The Oasis Exhibits,Disney's Animal Kingdom Theme Park,08:00:00 to 20:00:00,['any-height'],28.355965,-81.59014
Stave Church Gallery,EPCOT,09:00:00 to 21:00:00,['any-height'],28.370621,-81.546971
Dumbo the Flying Elephant,Magic Kingdom Park,"07:30:00 to 08:00:00, 08:00:00 to 23:00:00",['any-height'],28.420509033,-81.5789473057
African Lions - Disney Animals,Disney's Animal Kingdom Theme Park,,['any-height'],28.359414,-81.592273
Babirusas - Disney Animals,Disney's Animal Kingdom Theme Park,,['any-height'],28.3561095970354,-81.5899304157241
Ski Patrol Training Camp,Disney's Blizzard Beach Water Park,00:00:00 to 23:59:00,['any-height'],28.352258,-81.575348
Gallery of Arts and History,EPCOT,09:00:00 to 21:00:00,['any-height'],28.368236,-81.551612
Affection Section,Disney's Animal Kingdom Theme Park,09:30:00 to 17:00:00,['any-height'],28.3653458262,-81.5888520134
Hippopotamuses - Disney Animals,Disney's Animal Kingdom Theme Park,,['any-height'],28.359414,-81.592199
EPCOT International Flower & Garden Festival - Topiaries,EPCOT,,['any-height'],28.371939491566557,-81.54942879960687
Haunted Mansion,Magic Kingdom Park,08:00:00 to 23:00:00,['any-height'],28.4202,-81.58288
SeaBase,EPCOT,"08:30:00 to 09:00:00, 09:00:00 to 21:00:00",['any-height'],28.375098,-81.551211
African Birds - Disney Animals,Disney's Animal Kingdom Theme Park,,['any-height'],28.360227,-81.59354
Sea Turtles - Disney Animals,EPCOT,,['any-height'],28.375631,-81.550828
Star Wars: Datapad on Play Disney Parks Mobile App,,,,,
Vintage Amphicar Tours,Disney Springs,10:00:00 to 22:00:00,['any-height'],28.37167,-81.517986
Snow Stormers,Disney's Blizzard Beach Water Park,00:00:00 to 23:59:00,['any-height'],28.3514397089,-81.5756890923
The American Adventure,EPCOT,"11:45:00 to 11:45:00, 12:30:00 to 12:30:00, 13:15:00 to 13:15:00, 14:00:00 to 14:00:00, 14:45:00 to 14:45:00, 15:30:00 to 15:30:00, 16:30:00 to 16:30:00, 17:30:00 to 17:30:00, 18:30:00 to 18:30:00, 19:30:00 to 19:30:00",['any-height'],28.367517,-81.549446
Turtle Talk With Crush,EPCOT,09:40:00 to 20:40:00,['any-height'],28.375255,-81.551047
Aerophile – The World Leader in Balloon Flight,Disney Springs,09:30:00 to 23:00:00,['any-height'],28.370954,-81.519473
Walt Disney's Enchanted Tiki Room,Magic Kingdom Park,08:00:00 to 23:00:00,['any-height'],28.4182264646,-81.583738382
Big Thunder Mountain Railroad,Magic Kingdom Park,08:00:00 to 23:00:00,['40-inches-102-cm-or-taller'],28.4199638504,-81.5846422864
Cinderella Castle Mural of Memories,Magic Kingdom Park,,,28.418608,-81.581198
Bijutsu-kan Gallery,EPCOT,09:00:00 to 21:00:00,['any-height'],28.367309,-81.550525
Anteaters - Disney Animals,Disney's Animal Kingdom Theme Park,,['any-height'],28.3561578052496,-81.5906228511836
Star Wars™ at Walt Disney World Resort,Disney's Hollywood Studios,,,,
Frontierland Shootin' Arcade,Magic Kingdom Park,08:00:00 to 23:00:00,['any-height'],28.4187637244,-81.5832274211
Disney’s DuckTales World Showcase Adventure,EPCOT,09:00:00 to 21:00:00,['any-height'],28.3707609,-81.552322
Fossil Fun Games,Disney's Animal Kingdom Theme Park,09:30:00 to 18:00:00,['any-height'],28.35677,-81.587961
Conservation Station,Disney's Animal Kingdom Theme Park,09:30:00 to 17:00:00,['any-height'],28.36533,-81.58872
Space Mountain,Magic Kingdom Park,"07:30:00 to 08:00:00, 08:00:00 to 23:00:00",['44-inches-112-cm-or-taller'],28.4188341691,-81.5781962872
Gibbons - Disney Animals,Disney's Animal Kingdom Theme Park,,['any-height'],28.359049,-81.58874
Mad Tea Party,Magic Kingdom Park,"07:30:00 to 08:00:00, 08:00:00 to 23:00:00",['any-height'],28.4200230397,-81.5798248916
Canada Far and Wide in Circle-Vision 360,EPCOT,09:00:00 to 21:00:00,['any-height'],28.371694,-81.55196
Toy Story Mania!,Disney's Hollywood Studios,"08:30:00 to 09:00:00, 09:00:00 to 21:30:00",['any-height'],28.356404,-81.561894
Flamingos at Discovery Island - Disney Animals,Disney's Animal Kingdom Theme Park,,['any-height'],28.357587,-81.591099
Wilderness Explorers,Disney's Animal Kingdom Theme Park,09:00:00 to 18:30:00,['any-height'],28.356682,-81.590292
Advanced Training Lab,EPCOT,12:00:00 to 18:00:00,['any-height'],28.374185,-81.547072
Mickey & Minnie's Runaway Railway,Disney's Hollywood Studios,"08:30:00 to 09:00:00, 09:00:00 to 21:30:00",['any-height'],28.3566783801,-81.5605667783
Test Track,EPCOT,"08:30:00 to 09:00:00, 09:00:00 to 21:00:00",['40-inches-102-cm-or-taller'],28.373228,-81.547489
Wildlife Express Train,Disney's Animal Kingdom Theme Park,09:30:00 to 16:30:00,['any-height'],28.3598097347,-81.5914175464
American Heritage Gallery,EPCOT,09:00:00 to 21:00:00,['any-height'],28.367517,-81.549469
Ketchakiddee Creek,Disney's Typhoon Lagoon Water Park,10:00:00 to 18:00:00,['48-inches-122-cm-or-shorter'],28.36507,-81.530505
Under the Sea - Journey of The Little Mermaid,Magic Kingdom Park,"07:30:00 to 08:00:00, 08:00:00 to 23:00:00",['any-height'],28.4211203,-81.579975
Star Wars Launch Bay Theater - Temporarily Unavailable,Disney's Hollywood Studios,00:00:00 to 23:59:00,['any-height'],28.357821,-81.561061
Pirates at Walt Disney World Resort,Magic Kingdom Park,,,,
Astro Orbiter,Magic Kingdom Park,"07:30:00 to 08:00:00, 08:00:00 to 23:00:00",['any-height'],28.4184926179,-81.5789887902
Mexico Folk Art Gallery,EPCOT,09:00:00 to 21:00:00,['any-height'],28.371511,-81.54746
Toboggan Racers,Disney's Blizzard Beach Water Park,00:00:00 to 23:59:00,['any-height'],28.351715,-81.575773
DINOSAUR,Disney's Animal Kingdom Theme Park,"07:30:00 to 08:00:00, 08:00:00 to 20:00:00",['40-inches-102-cm-or-taller'],28.355307,-81.588444
Alien Swirling Saucers,Disney's Hollywood Studios,"08:30:00 to 09:00:00, 09:00:00 to 21:30:00",['32-inches-81-cm-or-taller'],28.355385,-81.562379
Castaway Creek,Disney's Typhoon Lagoon Water Park,10:00:00 to 18:00:00,['any-height'],28.3660367345,-81.5287544578
Bats - Disney Animals,Disney's Animal Kingdom Theme Park,,['any-height'],28.3596505545806,-81.589561814223
Gorillas - Disney Animals,Disney's Animal Kingdom Theme Park,,['any-height'],28.360758,-81.593059
House of the Whispering Willows,EPCOT,09:00:00 to 21:00:00,['any-height'],28.36999,-81.546334
Prince Charming Regal Carrousel,Magic Kingdom Park,"07:30:00 to 08:00:00, 08:00:00 to 23:00:00",['any-height'],28.420169,-81.581255
