Activity Name,Activity Type,Park ID,Park Name,Timings,Height Restrictions,URL,Location Lat,Location Lng
Meet Mickey at Town Square Theater,Entertainment,80007944,Magic Kingdom Park,08:00:00 to 22:30:00,,https://disneyworld.disney.go.com/entertainment/magic-kingdom/character-meet-mickey-town-square/,28.416727,-81.580746
Disney® Visa® Cardmember Star Wars Photo Opportunity at Disney's Hollywood Studios,Entertainment,80007998,Disney's Hollywood Studios,11:00:00 to 16:00:00,,https://disneyworld.disney.go.com/entertainment/hollywood-studios/visa-cardmember-star-wars-character-experience/,28.358061,-81.560933
Splitsville Luxury Lanes™,Entertainment,10460,Disney Springs,11:00:00 to 23:00:00,,https://disneyworld.disney.go.com/entertainment/disney-springs/splitsville-entertainment/,28.370157,-81.521325
Disney Enchantment at Disney After Hours at Magic Kingdom,Entertainment,80007944,Magic Kingdom Park,00:00:00 to 23:59:00,,https://disneyworld.disney.go.com/entertainment/magic-kingdom/enchantment-fireworks-disney-after-hours/,28.419507,-81.581177
Donald's Dino-Bash!,Entertainment,80007823,Disney's Animal Kingdom Theme Park,,,https://disneyworld.disney.go.com/entertainment/animal-kingdom/donalds-dino-bash/,28.356385,-81.587919
Meet Asha Near World Showcase Plaza,Entertainment,80007838,EPCOT,"09:30:00 to 09:30:00, 10:45:00 to 10:45:00, 11:55:00 to 11:55:00, 13:50:00 to 13:50:00, 15:00:00 to 15:00:00",any-height,https://disneyworld.disney.go.com/entertainment/epcot/character-meet-asha/,28.3718773852161,-81.5488533162313
Meet Pixar Pals at Pixar Plaza,Entertainment,80007998,Disney's Hollywood Studios,,any-height,https://disneyworld.disney.go.com/entertainment/hollywood-studios/character-meet-pixar-pals/,28.3563769305406,-81.5609562845992
Meet a Friend from the Hundred Acre Wood in the United Kingdom,Entertainment,80007838,EPCOT,"09:00:00 to 09:00:00, 09:30:00 to 09:30:00, 10:00:00 to 10:00:00, 10:30:00 to 10:30:00, 11:00:00 to 11:00:00, 11:30:00 to 11:30:00, 12:00:00 to 12:00:00, 13:40:00 to 13:40:00, 14:10:00 to 14:10:00, 14:40:00 to 14:40:00, 15:10:00 to 15:10:00, 15:40:00 to 15:40:00",,https://disneyworld.disney.go.com/entertainment/epcot/character-meet-winnie-the-pooh/,28.3707205104,-81.5524162352
Star Wars Launch Bay: Encounter Darth Vader,Entertainment,80007998,Disney's Hollywood Studios,10:00:00 to 18:00:00,,https://disneyworld.disney.go.com/entertainment/hollywood-studios/character-meet-darth-vader-star-wars-launch-bay/,28.3581387982894,-81.5608885508893
Eat to the Beat Concert Series presented by Florida Blue Medicare,Entertainment,80007838,EPCOT,,,https://disneyworld.disney.go.com/entertainment/epcot/food-wine-eat-to-the-beat-concerts/,28.3682261910153,-81.5493872831897
Entertainment at Germany Gazebo,Entertainment,80007838,EPCOT,"12:40:00 to 12:40:00, 13:30:00 to 13:30:00, 14:35:00 to 14:35:00, 15:55:00 to 15:55:00, 17:00:00 to 17:00:00, 18:05:00 to 18:05:00",,https://disneyworld.disney.go.com/entertainment/epcot/germany-pavilion-entertainment/,28.368651,-81.546584
